song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Choro No. 11,"Mauricio Einhorn, Sebastiao Tapajós, Altamiro Carrilho, Gilson Peranzzetta",spotify:track:1XCMiWIOAnKnDBO0XQQgHZ,0.557,0.547,-4.903,0.0296,0.94,0.945,0.204,0.823,141.553,144857
Odeon,"Raphael Rabello & Dino 7 Cordas, Dino 7 Cordas, Raphael Rabello",spotify:track:0jSUpQvXu5ngJ9i9oTPGIQ,0.358,0.462,-10.322,0.0414,0.883,0.863,0.112,0.522,99.679,210960
Valsa Brasileira,Marco Pereira,spotify:track:6oEgmyGdch0SIdLFV8tsje,0.323,0.051,-24.841,0.0453,0.985,0.868,0.0767,0.298,84.906,204333
Um Amor Muito Louco,Nilson Chaves,spotify:track:3jaqgB5Rad9yuitIBJQin1,0.434,0.289,-14.256,0.0275,0.689,0.473,0.071,0.176,83.888,262600
Sei Lá,Luê,spotify:track:41IwizU26KiLMZONRvJfar,0.768,0.589,-6.719,0.03,0.0231,0.0,0.0957,0.459,103.987,231573
Coração Vagabundo,"Gal Costa, Caetano Veloso",spotify:track:60TftyBmMIL7wBdM37KuRj,0.518,0.308,-13.429,0.0451,0.788,0.0571,0.133,0.368,81.149,143427
Juste une chanson,Dom La Nena,spotify:track:7iI5zqrxRbot4LbmS0gNjz,0.71,0.401,-10.372,0.0362,0.538,0.00725,0.145,0.653,114.993,207002
Saudade da Bahia,"Joyce, Dori Caymmi",spotify:track:5Qsnj4B7EgwF5nqrqmImdV,0.647,0.245,-11.162,0.0329,0.971,9.69e-05,0.09,0.398,135.282,257533
Uma Brasileira,"Os Paralamas Do Sucesso, Djavan",spotify:track:4Fp23GGA5WNWgoDjdhBHeK,0.813,0.633,-10.021,0.0679,0.0685,6.29e-05,0.0435,0.849,92.893,221293
Noturna (Nada de Novo na Noite),"Silva, Marisa Monte",spotify:track:48yhqqRgV62cA90qyeq1cM,0.444,0.232,-9.885,0.0311,0.974,3.15e-05,0.225,0.541,77.035,156933
Pavilhão De Espelhos,"Roberta Sá, Ballaké Sissoko, Vincent Ségal",spotify:track:25OFkZ1NnNiSZHnu809HHW,0.666,0.402,-11.934,0.0274,0.657,0.000134,0.0805,0.366,103.105,196293
"Morena, Menina Linda",Mayra Andrade,spotify:track:6M8Chdo6mzt6oh6yiRUZPw,0.292,0.149,-13.952,0.0443,0.961,0.000308,0.0833,0.213,72.125,246760
Estrada Do Sol (feat.Marisa Monte),"Carminho, Marisa Monte",spotify:track:1BTeYNc9Pi5sgOyeWRsJNG,0.583,0.379,-9.734,0.056,0.764,0.0,0.105,0.231,94.702,245613
